DATE,OPEN,HIGH,LOW,CLOSE,VOLUME BTC,VOLUME USDT
12/11/2018,3432.88,3463.5,3324.32,3389.69,33394.16,113264068.9
12/10/2018,3545.37,3610,3370.11,3432.88,37581.44,130691360.7
12/9/2018,3410.93,3658,3394.04,3545.37,41424.25,145607074.8
12/8/2018,3403.55,3495,3276.47,3410.93,50131.6,170227499.7
12/7/2018,3508.75,3549.99,3224.6,3403.55,83526.75,282816671.3
12/6/2018,3769.84,3899.99,3500,3508.75,58566.12,218397171.3
12/5/2018,3951.64,3970,3745,3769.84,40324.34,155318420.1
12/4/2018,3884.01,4085,3785.94,3951.64,43819.45,173269898.3
12/3/2018,4161.01,4179,3827.02,3884.01,43575.4,173213815.7
12/2/2018,4190.02,4312.99,4103.04,4161.01,36617.34,153308532.3
12/1/2018,4041.32,4299.99,3963.01,4190.02,41538.32,172412131.9
11/30/2018,4295.84,4341.36,3943,4053.09,61088.09,251530358.1
11/29/2018,4264.85,4450.38,4125.65,4295.84,67935.45,290872551.6
11/28/2018,3875.21,4394.47,3874.27,4264.85,82187.35,341820074.5
11/27/2018,3862.2,3940,3689.12,3875.21,62299.14,237845870.2
11/26/2018,4085.78,4206,3701,3862.2,84761.59,335099625.7
11/25/2018,3932.44,4233,3652.66,4085.78,89041.61,348653386.3
11/24/2018,4420.61,4527,3824.69,3932.44,52612.04,221518598.3
11/23/2018,4370,4484,4222.94,4420.61,45007.85,196337635.7
11/22/2018,4661.07,4721.77,4335,4370,31617.81,144312768.2
11/21/2018,4558.86,4787.2,4413.85,4661.07,56391.89,259711255
11/20/2018,4910.03,5048.24,4326,4558.86,100503.22,469785894.3
11/19/2018,5662,5664,4855,4910.03,63314.09,330584758.2
11/18/2018,5628.29,5738.17,5617,5662,22864.8,129338526.2
11/17/2018,5655.94,5656.6,5565.43,5628.29,25511.48,143028990.2
11/16/2018,5753.4,5782.89,5549.25,5655.94,36665.71,207469638.5
11/15/2018,5922.41,5939.54,5403.42,5753.4,41943.86,237668666.7
11/14/2018,6457.66,6482.84,5656.87,5922.41,38778.76,233505327.3
11/13/2018,6453.07,6498,6391.15,6457.66,11198.97,72321959.6
11/12/2018,6449.81,6497,6421,6453.07,9558.74,61686559.15
11/11/2018,6433.05,6462.14,6355,6449.81,7738.64,49665474.07
11/10/2018,6419.99,6475.55,6411,6433.05,7406.31,47755415.52
11/9/2018,6479.84,6511.53,6391.01,6419.99,11145.39,71860361.29
11/8/2018,6578.46,6594,6468.22,6479.84,12284.48,80095279.63
11/7/2018,6519.11,6615.15,6509,6578.46,13205.39,86807342.57
11/6/2018,6468.99,6531.31,6445.18,6519.11,11223.92,72777315.11
11/5/2018,6485.85,6504.39,6431.02,6468.99,8479.5,54839521.39
11/4/2018,6387.09,6525,6359,6485.85,9989.26,64280718.03
11/3/2018,6433.98,6439.97,6345,6387.09,7310.55,46694322.28
11/2/2018,6410,6460.34,6388.2,6433.98,9306.69,59808495.03
11/1/2018,6371.93,6442.65,6348.66,6410,8704.28,55513599.97
10/31/2018,6330.87,6428,6245.02,6371.93,11288.16,71519794.26
10/30/2018,6344.5,6395,6317.01,6330.87,8511.93,54072418.92
10/29/2018,6489.93,6505.01,6315,6344.5,12371.58,79170939.83
10/28/2018,6505.6,6514.17,6453,6489.93,5496.14,35689511.81
10/27/2018,6538.63,6558.35,6476.18,6505.6,7049.62,45941295.7
